bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement
69be866a,Anureet Singh,-24.9576,-0.058,430,9.7471,False
36619795,Zeeshan Ansari,-25.0179,-0.1197,209,40.5879,False
cfad138c,CK Kapugedera,-26.0202,-1.5306,17,25.1032,False
f19ccfad,Washington Sundar,-26.034,-0.023,1131,-45.5249,False
aad0c365,Nithish Kumar Reddy,-27.0504,-0.178,152,34.9715,True
b0946605,AS Joseph,-27.0887,-0.0597,454,57.2761,False
cdc6bdba,S Sandeep Warrier,-27.2407,-0.1548,176,33.1687,True
2a72fd4f,Harmeet Singh,-27.4578,-0.05,549,-62.5279,False
4c5d73db,CR Woakes,-27.6354,-0.0597,463,29.0689,False
531f0278,K Santokie,-27.6363,-0.5419,51,24.6475,False
50758325,B Geeves,-27.7554,-0.5664,49,26.2442,False
a4e37e47,S Dube,-27.8322,-0.2141,130,16.3948,True
8a668774,Shoaib Ahmed,-27.951,-0.2714,103,16.3808,True
32198ae0,MC Henriques,-28.156,-0.0288,979,-32.2623,False
9d80c5e1,S Nadeem,-28.333,-0.0196,1444,-171.3669,False
c18496e1,Bipul Sharma,-28.7984,-0.0661,436,-27.727,False
725529bc,SC Ganguly,-28.9593,-0.1034,280,9.8782,False
c64c2443,J Syed Mohammad,-29.1747,-0.1489,196,4.6191,True
83c3e8e3,SH Johnson,-29.4455,-0.1712,172,43.6603,True
740742ef,RG Sharma,-29.6663,-0.085,349,-23.8312,False
fa2f1dde,K Khejroliya,-29.6804,-0.2005,148,42.1802,True
d7b3a420,Jaskaran Singh,-29.7779,-0.2683,111,22.4188,True
a03bba42,T Shamsi,-29.8083,-0.2484,120,17.1778,True
b4f5c2d9,KL Nagarkoti,-29.9023,-0.1616,185,20.1721,True
aa8d28ae,D Wiese,-29.9986,-0.0977,307,22.506,False
5f4e9e8f,RR Raje,-30.13,-0.2092,144,18.4163,True
f5180fe6,MG Johnson,-30.4423,-0.0234,1301,-27.0398,False
6a26221c,AK Markram,-30.7019,-0.1607,191,22.7546,True
f233bbb4,ST Jayasuriya,-30.8869,-0.1026,301,-17.9708,False
bcce309e,WPUJC Vaas,-30.9471,-0.1075,288,11.0764,False
0f721006,JO Holder,-31.1101,-0.0296,1052,15.1168,False
50c6bc2b,LS Livingstone,-31.41,-0.0979,321,29.4755,False
ddc0828d,A Flintoff,-32.7908,-0.4968,66,24.5995,True
b8527c3d,Rasikh Salam,-32.9296,-0.1291,255,72.9876,True
8db7f47f,RJW Topley,-33.2103,-0.2657,125,50.4814,True
4353bba5,YA Abdulla,-33.2882,-0.1499,222,6.7844,True
c654af19,R McLaren,-33.5379,-0.0902,372,24.496,False
6aed7e79,PV Tambe,-33.562,-0.0498,674,-55.4834,False
4b31f3a3,Yash Thakur,-33.9776,-0.0715,475,70.3819,False
66cf56a5,A Mithun,-34.5529,-0.1107,312,19.9183,False
350bb1b1,AF Milne,-34.6088,-0.1595,217,30.9991,True
0a3d54b9,VR Aaron,-34.6748,-0.0326,1065,-5.4486,False
b2a79f17,B Laughlin,-35.1747,-0.1965,179,28.2497,True
0c9652b0,HR Shokeen,-35.2032,-0.1653,213,33.148,True
a9da7784,KJ Abbott,-35.4731,-0.3478,102,30.5934,True
ac5ae4af,I Udana,-35.7231,-0.1963,182,20.9963,True
68c56d09,KA Jamieson,-35.8062,-0.1312,273,51.636,True
3eac9d95,JDP Oram,-36.2459,-0.1485,244,21.8732,True
77b1aa15,Harshit Rana,-36.4683,-0.0537,679,146.998,False
9170ff49,Parvez Rasool,-36.6246,-0.1831,200,4.3125,True
f29185a1,Abhishek Sharma,-36.8375,-0.1068,345,29.6476,False
12b610c2,TM Head,-37.3413,-0.6438,58,33.2785,False
b410bd3d,S Lamichhane,-37.9166,-0.1797,211,26.2872,True
acdc62f5,A Nortje,-37.921,-0.0331,1144,73.8968,False
890de8cb,Gagandeep Singh,-38.853,-0.4625,84,34.3617,True
957532de,S Aravind,-39.0296,-0.0495,788,8.7285,False
e0407c01,IC Pandey,-39.1071,-0.0834,469,12.0419,False
2f3817ce,TP Sudhindra,-39.2832,-0.5309,74,34.0138,True
cb9b8664,W O'Rourke,-39.3863,-0.6154,64,43.9281,True
73ad96ed,DJ Hooda,-39.4683,-0.0999,395,2.1773,False
65b6943c,L Wood,-39.618,-1.0426,38,43.1777,False
8f6dd463,Azmatullah Omarzai,-40.0847,-0.1336,300,74.0501,True
4933f499,JP Behrendorff,-40.1004,-0.1058,379,59.9503,False
f752db61,JL Pattinson,-40.5822,-0.1828,222,23.4611,True
107c26fb,KT Maphaka,-40.7901,-0.5745,71,50.7991,True
4885bbe6,Yudhvir Singh,-41.3728,-0.2853,145,60.1448,True
dfc4d8b5,KW Richardson,-42.1153,-0.1221,345,20.35,True
3c6ffae8,YK Pathan,-42.3074,-0.0357,1184,-136.0042,False
e9c7f0d0,Fazalhaq Farooqi,-43.0748,-0.1619,266,74.1027,True
23cca426,OF Smith,-43.2159,-0.4549,95,45.5141,True
6b8eb6e5,S Sreesanth,-44.1149,-0.0466,947,-17.0965,False
5bb1a1c4,I Sharma,-44.909,-0.0176,2553,6.5318,False
327b58d3,PVD Chameera,-45.3546,-0.1112,408,81.5822,False
2498e163,JR Hopes,-46.813,-0.1269,369,29.1813,True
9219eff0,JDS Neesham,-47.1305,-0.2123,222,35.5441,True
fa463154,AB Agarkar,-47.5644,-0.058,820,-5.1254,False
dcf81436,S Kaul,-47.7564,-0.0386,1238,-1.3973,False
e84ac20c,MJ Henry,-48.8048,-0.4648,105,42.6432,True
8e514b4c,Abdul Samad,-48.8983,-0.8579,57,40.8195,False
2e11c706,BCJ Cutting,-49.4115,-0.1716,288,41.843,True
808f425a,JP Faulkner,-50.2405,-0.039,1287,-22.7888,False
b483905d,Akash Singh,-50.2748,-0.2417,208,65.6283,True
1647bd37,Karanveer Singh,-51.7099,-0.2428,213,27.2699,True
5bdcdb72,TM Dilshan,-52.2143,-0.1899,275,6.3002,True
287686fd,S Narwal,-52.6913,-0.4663,113,47.9901,True
04a418e8,R Parag,-52.7596,-0.1707,309,44.3289,True
245c97cb,TS Mills,-53.0227,-0.241,220,40.981,True
29d72eb2,AA Chavan,-54.1539,-0.2124,255,17.7569,True
c24a2c5d,S Tyagi,-55.6212,-0.2528,220,17.4025,True
fb693839,S Ladda,-55.7129,-0.3951,141,37.6777,True
14f96089,A Zampa,-55.9038,-0.1177,475,22.9052,False
e03b66ec,Mohammad Asif,-57.3682,-0.2883,199,32.0337,True
db31895a,AS Rajpoot,-57.451,-0.1013,567,46.4256,False
0f12f9df,NLTC Perera,-57.508,-0.0804,715,17.2195,False
5d2eea49,Kartik Tyagi,-60.7773,-0.1327,458,28.5526,True
9f961c14,Joginder Sharma,-61.9771,-0.2279,272,30.1447,True
edb3d4f8,KC Cariappa,-62.4165,-0.2786,224,36.3016,True
46a9bea1,TU Deshpande,-63.0435,-0.0604,1044,121.9557,False
4125d931,J Suchith,-64.035,-0.1475,434,23.3722,True
3fb19989,MA Starc,-64.6118,-0.0573,1128,43.4888,False
6ad3a659,P Amarnath,-65.7383,-0.498,132,58.7064,True
fe763256,Y Venugopal Rao,-66.6432,-0.3002,222,27.9788,True
96fd40ae,A Nehra,-66.9038,-0.0339,1974,-102.7347,False
81c36ee9,M Jansen,-68.5069,-0.087,787,90.1972,False
8abdf100,CJ Anderson,-69.2351,-0.2198,315,59.4566,True
d2a989fc,DS Kulkarni,-69.2443,-0.0369,1876,-11.9263,False
b681e71e,GJ Maxwell,-70.2756,-0.067,1049,-2.0193,False
dbe50b21,HH Pandya,-70.3306,-0.041,1714,136.6737,False
fd835ab3,DJ Hussey,-70.3838,-0.2179,323,26.492,True
8ba8195d,V Sehwag,-70.6527,-0.512,138,51.0059,True
35205dfc,DR Smith,-71.8751,-0.129,557,49.3743,True
5b040b81,A Singh,-73.0362,-0.1503,486,-4.9373,True
034b4b7d,VRV Singh,-73.3431,-0.1977,371,57.2719,True
765a4731,Mukesh Choudhary,-74.6577,-0.2235,334,82.7799,True
a9fd84fb,M Markande,-75.4144,-0.1023,737,78.822,False
c5aef772,R Shepherd,-75.5447,-0.3388,223,88.9029,True
e86754b2,TK Curran,-76.1606,-0.3022,252,65.107,True
13c35c9e,TG Southee,-78.3041,-0.062,1262,57.2939,False
ffe699c0,CJ Jordan,-80.28,-0.112,717,77.8046,False
2cffab74,Mukesh Kumar,-80.8668,-0.1182,684,179.9734,False
a2f46292,KK Ahmed,-81.4298,-0.0495,1645,148.5787,False
e32d22f6,Pankaj Singh,-81.9994,-0.2637,311,56.8371,True
9fc0ef64,PJ Sangwan,-82.6427,-0.0913,905,21.5717,False
c3d35165,JA Morkel,-85.9227,-0.0475,1807,-43.5538,False
7a8bd078,S Gopal,-87.0436,-0.087,1000,-19.5388,False
d8b2f218,BB Sran,-89.7687,-0.174,516,64.6297,True
8cf9814c,Mohammed Shami,-91.2738,-0.0337,2708,136.0295,False
cc1e8c68,UT Yadav,-91.8428,-0.0288,3190,54.6112,False
871e9faf,Basil Thampi,-94.936,-0.1761,539,92.143,True
0a67aec0,Akash Deep,-98.1725,-0.3251,302,118.3089,True
66b30f71,AB Dinda,-99.2256,-0.0624,1589,-13.1349,False
90de905a,K Gowtham,-100.742,-0.1682,599,45.2424,True
23eeb873,DL Chahar,-104.4758,-0.052,2010,84.919,False
1abb78f8,SN Thakur,-108.2783,-0.0491,2205,135.3741,False
f9e6e7ef,Shahbaz Ahmed,-117.8653,-0.1932,610,105.8401,True
c8179c68,SB Jakati,-119.2535,-0.1083,1101,-47.1646,False
a818c1be,TA Boult,-121.1557,-0.0435,2785,174.1553,False
ae78bc32,MS Gony,-121.1798,-0.131,925,56.1128,True
12314277,Arshad Khan,-134.4199,-0.2326,578,180.2339,True
f0f628c7,MM Patel,-138.3784,-0.1001,1382,-55.958,False
e94915e6,SM Curran,-146.3806,-0.1119,1308,203.4206,False
41eb4a4f,R Vinay Kumar,-148.9685,-0.0681,2186,30.8208,False
d9273ee7,MP Stoinis,-157.4325,-0.1708,922,170.0876,True
759ac88f,MM Sharma,-163.5888,-0.0662,2471,171.7303,False
bbd41817,AD Russell,-195.5428,-0.1037,1885,222.343,False
98ae73b1,PP Chawla,-200.1112,-0.0514,3895,-217.6462,False
1e66c162,JD Unadkat,-215.4769,-0.0921,2340,173.8283,False
119678fd,KV Sharma,-222.532,-0.1381,1611,74.9119,True
